status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,control,F0,BEQ,REL,1/3,"TMP = read_pc(); ; PC++; ; if(P & F_Z) { ; read_pc(); ; if(page_changing(PC, int8_t(TMP))) { ; read_arg(set_l(PC, PC+int8_t(TMP))); ; PC += int8_t(TMP); ; prefetch();",mode-dependent,yes,control-flow,,high (mame opcode map),mame_handler=beq_rel; cycles_source=mame_seq_derived
in_progress,alu,F1,SBC,IND_Y,3/6,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP2 = read(TMP+Y); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=sbc_idy; cycles_source=mame_seq_derived
planned,nop,F2,KIL,NON,4+,read_pc(); ; PC++; ; read(0xffff); ; read(0xfffe); ; read(0xfffe); ; for(;;) { ; read(0xffff);,no,no,internal/illegal,,high (mame opcode map),mame_handler=kil_non; cycles_source=mame_seq_derived
planned,misc,F3,ISB,IND_Y,8,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=isb_idy; cycles_source=mame_seq_derived
planned,nop,F4,NOP,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; read(uint8_t(TMP+X)); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=nop_zpx; cycles_source=mame_seq_derived
in_progress,alu,F5,SBC,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; TMP2 = read(uint8_t(TMP+X)); ; do_sbc(TMP2); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=sbc_zpx; cycles_source=mame_seq_derived
planned,inc_dec,F6,INC,ZPG_X,6,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP = uint8_t(TMP+X); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=inc_zpx; cycles_source=mame_seq_derived
planned,misc,F7,ISB,ZPG_X,6,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP = uint8_t(TMP+X); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=isb_zpx; cycles_source=mame_seq_derived
planned,flags,F8,SED,IMP,2,read_pc(); ; P |= F_D; ; prefetch();,no,no,internal,,high (mame opcode map),mame_handler=sed_imp; cycles_source=mame_seq_derived
in_progress,alu,F9,SBC,ABS_Y,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=sbc_aby; cycles_source=mame_seq_derived
planned,nop,FA,NOP,IMP,2,read_pc(); ; prefetch();,no,no,internal,,high (mame opcode map),mame_handler=nop_imp; cycles_source=mame_seq_derived
planned,misc,FB,ISB,ABS_Y,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=isb_aby; cycles_source=mame_seq_derived
planned,nop,FC,NOP,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; read(TMP + X); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=nop_abx; cycles_source=mame_seq_derived
in_progress,alu,FD,SBC,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=sbc_abx; cycles_source=mame_seq_derived
planned,inc_dec,FE,INC,ABS_X,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",mode-dependent,no,read-modify-write,,high (mame opcode map),mame_handler=inc_abx; cycles_source=mame_seq_derived
planned,misc,FF,ISB,ABS_X,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=isb_abx; cycles_source=mame_seq_derived
