opcode_hex,rockwell_token,wdc_token,rockwell_normalized,wdc_normalized,raw_equal,normalized_equal
EA,nop_imp,nop_imp,nop_imp,nop_imp,yes,yes
EB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
EC,cpx_aba,cpx_aba,cpx_aba,cpx_aba,yes,yes
ED,sbc_c_aba,sbc_c_aba,sbc_aba,sbc_aba,yes,yes
EE,inc_c_aba,inc_c_aba,inc_aba,inc_aba,yes,yes
EF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
F0,beq_rel,beq_rel,beq_rel,beq_rel,yes,yes
F1,sbc_c_idy,sbc_s_idy,sbc_idy,sbc_idy,no,yes
F2,sbc_c_zpi,sbc_c_zpi,sbc_zpi,sbc_zpi,yes,yes
F3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
F4,nop_zpx,nop_s_zpx,nop_zpx,nop_zpx,no,yes
F5,sbc_c_zpx,sbc_s_zpx,sbc_zpx,sbc_zpx,no,yes
F6,inc_c_zpx,inc_s_zpx,inc_zpx,inc_zpx,no,yes
F7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
F8,sed_imp,sed_imp,sed_imp,sed_imp,yes,yes
F9,sbc_c_aby,sbc_s_aby,sbc_aby,sbc_aby,no,yes
FA,plx_imp,plx_s_imp,plx_imp,plx_imp,no,yes
FB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
FC,nop_c_abx,nop_s_abx,nop_abx,nop_abx,no,yes
FD,sbc_c_abx,sbc_s_abx,sbc_abx,sbc_abx,no,yes
FE,inc_c_abx,inc_s_abx,inc_abx,inc_abx,no,yes
FF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
